staff_id,department,grade,contract_type,fte,start_date,last_promotion_date,gender,ethnicity,exit_date
S00001,Sales,G4,Fixed-term,1.0,2019-10-07,,Male,White,2022-02-17
S00002,IT Services,G6,Permanent,1.0,2013-10-29,,Male,White,
S00003,Sales,G4,Fixed-term,0.82,2010-07-14,,Female,White,2018-03-31
S00004,Customer Services,G6,Permanent,1.0,2018-07-05,,Male,Other,
S00005,HR,G4,Permanent,1.0,2014-11-22,2019-11-21,Female,White,
S00006,Legal and Governance,G5,Permanent,0.41,2020-03-24,,F,Mixed,
S00007,Planning,G3,Fixed-term,0.46,2021-07-25,,Female,White,
S00008,Customer Services,G7,Permanent,1.0,2013-05-07,,Female,White,
S00009,Customer Services,G9,Permanent,1.0,2017-01-25,,Female,White,
S00010,Customer Services,G6,Permanent,1.0,2013-10-11,2016-10-10,Male,White,
S00011,Facilities,G4,Permanent,1.0,2016-05-14,,Male,White,
S00012,Communications,G5,Permanent,1.0,2015-03-24,,Female,White,
S00013,HR,Grade 8,Permanent,1.0,2022-06-07,,Female,White,
S00014,Communications,G8,Permanent,1.0,2011-12-04,,Female,Asian,
S00015,IT Services,G6,Permanent,1.0,2012-06-08,,Male,White,
S00016,Sales,G3,Permanent,1.0,2018-10-29,2021-10-28,M,White,
S00017,Finance,G5,Permanent,1.0,2012-03-08,,Male,Black,
S00018,Estates,G3,Permanent,1.0,2015-07-30,,Female,White,
S00019,Estates,G5,Fixed-term,1.0,2013-04-08,2017-04-07,Other,White,
S00020,Estates,G7,Permanent,0.45,2009-10-04,,Female,Mixed,
S00021,IT Services,G5,Permanent,1.0,2015-07-19,,Female,White,
S00022,Commercial Services,G5,Fixed-term,1.0,2011-06-01,2014-05-31,Female,Mixed,
S00023,Marketing,G7,Permanent,1.0,2024-02-11,,Female,White,
S00024,Security,G6,Permanent,1.0,2009-02-11,,Male,White,
S00025,Procurement,G5,Permanent,0.2,2019-06-03,,Male,White,
S00026,Finance,G6,Permanent,1.0,2011-06-28,,Male,White,
S00027,Procurement,G6,Fixed-term,0.23,2019-01-05,,Female,Asian,
S00028,Communications,G7,Permanent,1.0,2014-04-18,,Male,White,
S00029,Communications,G7,Permanent,1.0,2016-05-21,,Female,White,2020-02-16
S00030,Research and Development,G5,Permanent,0.77,2010-12-20,,Female,Asian,
S00031,Sales,G7,Permanent,1.0,2022-07-03,,F,White,
S00032,Estates,G6,Permanent,0.61,2023-03-25,,Male,Black,
S00033,Security,G7,Fixed-term,0.86,2022-05-17,,Male,White,2024-05-04
S00034,Estates,G4,Fixed-term,1.0,2013-01-13,,Female,Asian,
S00035,Customer Services,G5,Permanent,0.25,2022-06-19,,Female,Asian,
S00036,Finance,G5,Fixed-term,1.0,2014-11-07,2018-11-06,Male,White,
S00037,Security,G6,Permanent,0.48,2021-12-10,,Male,White,
S00038,IT Services,Grade 8,Permanent,1.0,2019-06-17,,Male,White,
S00039,Facilities,G7,Permanent,1.0,2014-10-08,,Female,Mixed,
S00040,Sales,G5,Permanent,1.0,2017-03-28,2022-03-27,Male,White,
S00041,Sales,G7,Permanent,1.0,2009-09-01,,Male,White,
S00042,Procurement,G5,Permanent,1.0,2011-12-19,,Male,White,2014-05-10
S00043,Estates,G6,Fixed-term,0.38,2011-03-10,,Male,White,
S00044,Legal and Governance,G7,Permanent,0.74,2022-10-08,,M,Black,
S00045,Sales,G7,Permanent,1.0,2013-08-14,,Male,Asian,2020-01-10
S00046,IT Services,G5,Permanent,1.0,2012-07-31,,Male,White,
S00047,Communications,G5,Permanent,1.0,2022-10-22,,Female,White,
S00048,Commercial Services,G5,Fixed-term,1.0,2018-11-05,,Male,Black,
S00049,Facilities,G6,Permanent,0.38,2022-03-07,,Female,White,
S00050,Estates,Grade 8,Permanent,1.0,2013-06-17,,Male,White,
S00051,Communications,G4,Permanent,1.0,2008-10-03,2011-10-03,Female,Asian,2016-08-08
S00052,Commercial Services,G4,Permanent,1.0,2011-03-06,2015-03-05,Male,Asian,
